chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr1	11206029	11206560	0.90	0.91	0.88	0.89	0.89	0.92	0.88	0.94	0.86	0.96	0.96	0.96	0.82	0.82	0.20	0.41	0.77	0.93	0.94	0.94	0.91	0.83	0.96	0.97	0.98	0.97	0.96	0.94	0.93	0.92	0.88	0.92	0.96	0.95	0.93	0.89	0.89	0.92	0.93
chr1	11846129	11846566	0.91	0.93	0.91	0.86	0.95	0.91	0.85	0.08	0.90	0.94	0.86	0.96	0.96	0.90	0.93	0.93	0.94	0.94	0.91	0.93	0.93	0.81	0.92	0.92	0.95	0.93	0.93	0.93	0.93	0.94	0.96	0.93	0.94	0.94	0.92	0.95	0.95	0.92	0.91
chr1	11879360	11879566	0.81	0.83	0.81	0.72	0.80	0.57	0.64	0.76	0.68	0.94	0.94	0.89	0.80	0.64	0.84	0.86	0.83	0.29	0.89	0.75	0.80	0.75	0.85	0.90	0.93	0.96	0.89	0.83	0.84	0.81	0.81	0.84	0.83	0.94	0.78	0.83	0.88	0.88	0.84
chr1	11989694	11989919	0.88	0.93	0.90	0.91	0.88	0.45	0.89	0.09	0.89	0.96	0.92	0.94	0.96	0.91	0.90	0.91	0.90	0.92	0.89	0.93	0.86	0.90	0.92	0.90	0.96	0.96	0.86	0.92	0.87	0.86	0.95	0.95	0.95	0.89	0.92	0.94	0.90	0.93	0.92
chr1	12000431	12000658	0.93	0.91	0.94	0.88	0.90	0.74	0.87	0.09	0.92	0.95	0.90	0.95	0.93	0.86	0.92	0.89	0.92	0.92	0.92	0.92	0.92	0.87	0.92	0.79	0.96	0.95	0.95	0.87	0.91	0.87	0.93	0.93	0.94	0.90	0.91	0.86	0.90	0.93	0.91
chr1	12034898	12035084	0.93	0.93	0.90	0.90	0.92	0.82	0.92	0.97	0.83	0.95	0.95	0.97	0.95	0.88	0.91	0.92	0.91	0.96	0.94	0.94	0.92	0.76	0.96	0.97	0.84	0.14	0.97	0.93	0.93	0.91	0.96	0.93	0.93	0.92	0.92	0.93	0.93	0.94	0.94
chr1	12141009	12141336	0.86	0.94	0.84	0.84	0.95	0.77	0.84	0.95	0.92	0.89	0.92	0.95	0.93	0.65	0.84	0.85	0.79	0.89	0.95	0.97	0.96	0.57	0.92	0.91	0.19	0.31	0.90	0.95	0.93	0.94	0.96	0.91	0.94	0.94	0.94	0.96	0.95	0.95	0.96
chr1	12499441	12499959	0.24	0.91	0.85	0.77	0.31	0.84	0.41	0.95	0.66	0.94	0.91	0.97	0.96	0.93	0.95	0.92	0.97	0.90	0.93	0.95	0.90	0.82	0.94	0.96	0.95	0.97	0.94	0.94	0.93	0.91	0.96	0.93	0.96	0.94	0.94	0.98	0.95	0.95	0.95
chr1	12574589	12574791	0.95	0.95	0.89	0.90	0.92	0.95	0.88	0.96	0.92	0.94	0.95	0.91	0.97	0.94	0.94	0.95	0.96	0.94	0.96	0.94	0.98	0.85	0.94	0.96	0.97	0.96	0.93	0.95	0.89	0.89	0.93	0.92	0.91	0.19	0.95	0.84	0.95	0.96	0.95
chr1	12585507	12585888	0.92	0.92	0.92	0.93	0.93	0.94	0.89	0.92	0.80	0.96	0.97	0.73	0.97	0.74	0.94	0.97	0.97	0.94	0.95	0.96	0.96	0.89	0.96	0.97	0.97	0.97	0.96	0.89	0.88	0.82	0.87	0.92	0.97	0.97	0.85	0.05	0.78	0.94	0.91
chr1	12666353	12666609	0.71	0.66	0.85	0.07	0.72	0.88	0.61	0.57	0.86	0.95	0.96	0.92	0.91	0.88	0.87	0.89	0.93	0.94	0.93	0.95	0.96	0.63	0.89	0.95	0.95	0.96	0.90	0.91	0.93	0.96	0.94	0.91	0.96	0.97	0.83	0.89	0.88	0.96	0.90
chr1	13705414	13705608	0.81	0.87	0.83	0.83	0.89	0.83	0.86	0.95	0.83	0.96	0.97	0.85	0.98	0.88	0.96	0.96	0.97	0.96	0.95	0.92	0.93	0.64	0.62	0.83	0.69	0.01	0.80	0.90	0.86	0.89	0.98	0.95	0.95	0.96	0.89	0.98	0.94	0.93	0.95
chr1	14776611	14776860	0.94	0.92	0.90	0.73	0.90	0.95	0.82	0.98	0.95	0.98	0.95	0.89	0.94	0.91	0.89	0.94	0.89	0.89	0.94	0.31	0.17	0.69	0.88	0.94	0.93	0.91	0.91	0.91	0.93	0.95	0.95	0.92	0.95	0.97	0.94	0.95	0.83	0.95	0.93
chr1	14976380	14976595	0.93	0.94	0.92	0.90	0.91	0.91	0.88	0.97	0.93	0.97	0.96	0.96	0.97	0.96	0.96	0.96	0.96	0.14	0.93	0.67	0.43	0.74	0.92	0.96	0.95	0.97	0.93	0.92	0.95	0.96	0.96	0.97	0.95	0.84	0.96	0.94	0.96	0.96	0.97
chr1	15065984	15066137	0.90	0.90	0.84	0.90	0.81	0.88	0.81	0.95	0.58	0.89	0.92	0.92	0.92	0.88	0.91	0.95	0.94	0.93	0.94	0.92	0.91	0.70	0.71	0.04	0.94	0.91	0.93	0.86	0.77	0.84	0.85	0.86	0.93	0.86	0.91	0.92	0.93	0.91	0.94
chr1	15214918	15215138	0.73	0.79	0.64	0.82	0.15	0.85	0.41	0.96	0.94	0.96	0.95	0.96	0.98	0.92	0.96	0.97	0.98	0.89	0.95	0.98	0.89	0.74	0.93	0.96	0.97	0.98	0.94	0.94	0.96	0.96	0.96	0.89	0.98	0.97	0.97	0.87	0.97	0.93	0.92
chr1	15357242	15357920	0.92	0.94	0.89	0.88	0.93	0.91	0.91	0.97	0.91	0.95	0.97	0.95	0.93	0.96	0.92	0.92	0.95	0.91	0.95	0.95	0.91	0.68	0.94	0.97	0.96	0.97	0.92	0.88	0.86	0.87	0.91	0.90	0.95	0.95	0.88	0.11	0.94	0.94	0.89
chr1	15440187	15440516	0.85	0.86	0.81	0.76	0.88	0.85	0.77	0.93	0.74	0.93	0.97	0.92	0.90	0.03	0.90	0.93	0.94	0.89	0.93	0.91	0.89	0.56	0.78	0.93	0.92	0.94	0.86	0.83	0.84	0.84	0.91	0.88	0.89	0.91	0.88	0.92	0.91	0.91	0.89
chr1	15440532	15441017	0.91	0.92	0.89	0.84	0.93	0.93	0.86	0.96	0.89	0.96	0.95	0.95	0.94	0.03	0.96	0.95	0.97	0.92	0.95	0.94	0.94	0.69	0.91	0.95	0.95	0.97	0.92	0.94	0.93	0.93	0.95	0.95	0.95	0.93	0.94	0.95	0.95	0.95	0.95
chr1	15449973	15450352	0.90	0.90	0.80	0.80	0.89	0.89	0.77	0.94	0.82	0.92	0.96	0.95	0.91	0.05	0.88	0.91	0.92	0.92	0.89	0.89	0.88	0.53	0.82	0.91	0.93	0.94	0.82	0.86	0.90	0.93	0.94	0.92	0.93	0.96	0.89	0.93	0.91	0.93	0.91
chr1	15450475	15451151	0.94	0.94	0.85	0.84	0.92	0.92	0.84	0.98	0.84	0.97	0.97	0.97	0.95	0.03	0.95	0.96	0.95	0.94	0.94	0.95	0.94	0.64	0.87	0.94	0.96	0.97	0.88	0.93	0.91	0.95	0.95	0.93	0.96	0.97	0.94	0.95	0.96	0.95	0.95
chr1	15456871	15457482	0.94	0.92	0.88	0.82	0.90	0.93	0.88	0.96	0.86	0.96	0.97	0.95	0.96	0.05	0.94	0.97	0.96	0.97	0.95	0.95	0.96	0.61	0.85	0.93	0.96	0.97	0.88	0.94	0.96	0.93	0.97	0.89	0.97	0.97	0.95	0.93	0.94	0.95	0.97
chr1	15459240	15459443	0.96	0.95	0.89	0.85	0.94	0.94	0.89	0.98	0.91	0.97	0.97	0.96	0.93	0.07	0.97	0.98	0.98	0.97	0.97	0.97	0.96	0.66	0.88	0.95	0.97	0.97	0.92	0.89	0.96	0.96	0.98	0.95	0.98	0.98	0.95	0.94	0.96	0.96	0.96
chr1	15472285	15472459	0.90	0.91	0.90	0.83	0.88	0.93	0.84	0.96	0.86	0.96	0.96	0.95	0.94	0.06	0.97	0.94	0.95	0.95	0.85	0.93	0.95	0.57	0.91	0.94	0.95	0.96	0.93	0.92	0.95	0.93	0.96	0.94	0.94	0.97	0.88	0.97	0.96	0.95	0.96
chr1	15472927	15473636	0.95	0.93	0.90	0.76	0.91	0.93	0.81	0.97	0.77	0.97	0.97	0.95	0.94	0.08	0.95	0.95	0.95	0.97	0.95	0.96	0.95	0.67	0.90	0.95	0.96	0.96	0.94	0.84	0.90	0.94	0.94	0.93	0.97	0.98	0.93	0.96	0.96	0.95	0.93
chr1	15474249	15474642	0.96	0.94	0.93	0.84	0.92	0.86	0.86	0.96	0.86	0.95	0.96	0.96	0.96	0.16	0.95	0.96	0.96	0.96	0.93	0.96	0.96	0.73	0.92	0.95	0.97	0.97	0.93	0.94	0.96	0.95	0.97	0.95	0.97	0.97	0.94	0.94	0.96	0.96	0.95
chr1	15478023	15478626	0.96	0.93	0.90	0.80	0.92	0.96	0.83	0.97	0.80	0.96	0.97	0.97	0.95	0.08	0.98	0.98	0.97	0.97	0.96	0.98	0.95	0.59	0.90	0.94	0.97	0.97	0.92	0.90	0.88	0.94	0.96	0.91	0.98	0.97	0.95	0.95	0.96	0.90	0.91
chr1	15495091	15495638	0.94	0.94	0.90	0.86	0.92	0.92	0.85	0.96	0.86	0.95	0.96	0.96	0.93	0.05	0.94	0.91	0.93	0.96	0.96	0.96	0.96	0.65	0.92	0.94	0.95	0.92	0.95	0.91	0.94	0.94	0.95	0.95	0.96	0.96	0.94	0.95	0.94	0.94	0.94
chr1	15563608	15564295	0.94	0.94	0.89	0.93	0.95	0.85	0.89	0.95	0.94	0.94	0.95	0.92	0.96	0.94	0.94	0.95	0.96	0.88	0.94	0.97	0.94	0.84	0.96	0.97	0.91	0.97	0.32	0.94	0.95	0.95	0.96	0.95	0.97	0.96	0.96	0.95	0.94	0.96	0.96
chr1	15639835	15640563	0.96	0.95	0.95	0.86	0.96	0.94	0.92	0.91	0.93	0.95	0.97	0.93	0.96	0.96	0.94	0.93	0.95	0.95	0.94	0.95	0.96	0.29	0.96	0.97	0.97	0.90	0.94	0.89	0.96	0.93	0.96	0.95	0.95	0.96	0.94	0.64	0.94	0.95	0.96
chr1	15704500	15704857	0.78	0.84	0.81	0.82	0.66	0.83	0.69	0.78	0.85	0.91	0.72	0.96	0.94	0.89	0.85	0.07	0.57	0.92	0.96	0.93	0.90	0.81	0.95	0.95	0.93	0.96	0.96	0.92	0.92	0.95	0.95	0.94	0.94	0.78	0.96	0.92	0.95	0.96	0.95
chr1	15723518	15723731	0.88	0.93	0.92	0.93	0.95	0.79	0.90	0.92	0.90	0.93	0.93	0.96	0.96	0.92	0.72	0.26	0.54	0.94	0.95	0.97	0.95	0.78	0.94	0.94	0.95	0.90	0.92	0.93	0.95	0.94	0.95	0.96	0.95	0.93	0.91	0.94	0.96	0.95	0.94
chr1	15892244	15892826	0.84	0.92	0.82	0.85	0.28	0.87	0.87	0.64	0.68	0.94	0.93	0.94	0.98	0.96	0.97	0.96	0.98	0.91	0.84	0.97	0.95	0.83	0.95	0.95	0.96	0.96	0.89	0.93	0.93	0.95	0.95	0.95	0.97	0.93	0.88	0.97	0.95	0.94	0.92
chr1	16343268	16343605	0.93	0.96	0.93	0.92	0.91	0.87	0.89	0.95	0.87	0.93	0.84	0.98	0.97	0.97	0.97	0.97	0.98	0.94	0.87	0.97	0.96	0.87	0.96	0.96	0.97	0.97	0.96	0.93	0.93	0.93	0.97	0.96	0.88	0.16	0.92	0.85	0.97	0.96	0.95
chr1	17514879	17515100	0.85	0.81	0.79	0.75	0.88	0.73	0.72	0.94	0.71	0.95	0.96	0.97	0.97	0.91	0.94	0.96	0.98	0.96	0.93	0.96	0.96	0.64	0.86	0.85	0.89	0.92	0.91	0.94	0.95	0.90	0.95	0.96	0.98	0.97	0.68	0.96	0.95	0.07	0.87
chr1	17670152	17670429	0.91	0.93	0.89	0.88	0.92	0.82	0.85	0.76	0.92	0.88	0.77	0.95	0.94	0.94	0.91	0.08	0.84	0.83	0.94	0.96	0.95	0.72	0.93	0.96	0.95	0.96	0.95	0.95	0.95	0.95	0.95	0.95	0.97	0.94	0.96	0.90	0.94	0.93	0.95
chr1	18256381	18256636	0.05	0.04	0.10	0.04	0.05	0.06	0.05	0.04	0.05	0.05	0.75	0.05	0.02	0.05	0.20	0.12	0.77	0.03	0.04	0.05	0.05	0.05	0.15	0.12	0.10	0.09	0.14	0.05	0.07	0.04	0.04	0.03	0.03	0.02	0.05	0.04	0.05	0.03	0.07
chr1	18886987	18887260	0.95	0.94	0.81	0.92	0.95	0.95	0.91	0.97	0.88	0.96	0.97	0.84	0.96	0.97	0.96	0.96	0.97	0.97	0.96	0.95	0.96	0.80	0.95	0.96	0.96	0.96	0.97	0.84	0.19	0.82	0.84	0.86	0.57	0.75	0.96	0.94	0.95	0.96	0.95
chr1	19076739	19076959	0.94	0.95	0.96	0.94	0.94	0.94	0.92	0.94	0.95	0.95	0.94	0.93	0.89	0.92	0.92	0.87	0.94	0.96	0.96	0.96	0.94	0.90	0.97	0.98	0.97	0.98	0.97	0.41	0.78	0.81	0.81	0.94	0.93	0.15	0.92	0.95	0.96	0.95	0.96
chr1	19112523	19112853	0.93	0.95	0.93	0.93	0.96	0.93	0.91	0.93	0.93	0.94	0.94	0.97	0.97	0.93	0.93	0.92	0.94	0.96	0.96	0.98	0.97	0.26	0.97	0.99	0.97	0.98	0.97	0.92	0.96	0.96	0.97	0.97	0.96	0.93	0.97	0.96	0.96	0.96	0.96
chr1	19377832	19378041	0.91	0.93	0.85	0.81	0.92	0.93	0.85	0.92	0.94	0.96	0.84	0.97	0.95	0.96	0.85	0.95	0.89	0.97	0.92	0.97	0.95	0.78	0.96	0.97	0.97	0.97	0.94	0.89	0.83	0.95	0.94	0.93	0.92	0.93	0.90	0.07	0.89	0.97	0.89
chr1	19560991	19561204	0.96	0.93	0.89	0.93	0.95	0.93	0.91	0.95	0.92	0.93	0.95	0.95	0.93	0.89	0.93	0.93	0.92	0.95	0.94	0.86	0.77	0.71	0.91	0.93	0.95	0.94	0.92	0.90	0.83	0.86	0.54	0.18	0.82	0.95	0.94	0.88	0.89	0.91	0.91
chr1	19734153	19734405	0.94	0.94	0.92	0.87	0.92	0.81	0.90	0.93	0.89	0.86	0.59	0.96	0.87	0.95	0.93	0.90	0.90	0.20	0.93	0.91	0.88	0.76	0.96	0.97	0.97	0.97	0.97	0.92	0.93	0.92	0.96	0.96	0.98	0.96	0.94	0.88	0.93	0.96	0.96
chr1	20030393	20030605	0.88	0.87	0.84	0.24	0.80	0.89	0.59	0.79	0.80	0.93	0.94	0.90	0.92	0.87	0.91	0.92	0.91	0.95	0.84	0.94	0.96	0.61	0.89	0.90	0.93	0.94	0.93	0.90	0.86	0.93	0.96	0.93	0.95	0.96	0.92	0.91	0.93	0.95	0.93
chr1	20499936	20500323	0.86	0.89	0.89	0.86	0.86	0.89	0.87	0.87	0.86	0.89	0.87	0.93	0.91	0.87	0.77	0.21	0.62	0.87	0.93	0.89	0.90	0.78	0.95	0.95	0.96	0.96	0.95	0.89	0.88	0.88	0.92	0.94	0.91	0.85	0.92	0.87	0.90	0.90	0.89
chr1	20790115	20790624	0.92	0.93	0.88	0.93	0.93	0.91	0.91	0.94	0.84	0.93	0.94	0.86	0.94	0.90	0.94	0.94	0.93	0.67	0.03	0.88	0.70	0.83	0.93	0.96	0.97	0.97	0.85	0.92	0.88	0.86	0.95	0.90	0.95	0.98	0.75	0.90	0.92	0.95	0.91
chr1	21246881	21247191	0.91	0.93	0.86	0.88	0.89	0.94	0.83	0.90	0.92	0.96	0.89	0.97	0.94	0.80	0.88	0.85	0.92	0.66	0.93	0.90	0.90	0.88	0.94	0.95	0.95	0.94	0.96	0.40	0.69	0.89	0.76	0.83	0.07	0.66	0.83	0.92	0.95	0.86	0.93
chr1	21353579	21353806	0.84	0.90	0.87	0.64	0.74	0.83	0.67	0.91	0.53	0.94	0.94	0.93	0.96	0.91	0.96	0.96	0.96	0.91	0.94	0.93	0.94	0.01	0.88	0.83	0.84	0.79	0.90	0.82	0.89	0.81	0.93	0.91	0.96	0.93	0.82	0.94	0.89	0.94	0.92
chr1	21552334	21552649	0.88	0.88	0.81	0.58	0.91	0.74	0.79	0.79	0.69	0.95	0.96	0.75	0.96	0.89	0.95	0.93	0.93	0.87	0.95	0.96	0.95	0.74	0.85	0.88	0.85	0.14	0.88	0.93	0.91	0.95	0.95	0.95	0.96	0.97	0.95	0.96	0.94	0.93	0.93
chr1	21575346	21575553	0.79	0.77	0.78	0.84	0.73	0.84	0.78	0.95	0.80	0.93	0.96	0.86	0.91	0.84	0.94	0.95	0.94	0.77	0.91	0.06	0.55	0.58	0.87	0.90	0.91	0.96	0.88	0.78	0.73	0.72	0.87	0.81	0.89	0.86	0.89	0.89	0.85	0.79	0.68
chr1	21762094	21762369	0.83	0.92	0.64	0.91	0.86	0.82	0.88	0.93	0.85	0.93	0.85	0.96	0.95	0.97	0.95	0.97	0.99	0.76	0.70	0.91	0.71	0.87	0.95	0.95	0.74	0.92	0.14	0.92	0.85	0.84	0.96	0.94	0.96	0.88	0.93	0.94	0.95	0.97	0.97
chr1	21980307	21980510	0.91	0.93	0.92	0.86	0.92	0.89	0.90	0.92	0.89	0.94	0.97	0.95	0.95	0.03	0.93	0.92	0.94	0.93	0.67	0.93	0.92	0.77	0.95	0.96	0.97	0.97	0.94	0.90	0.90	0.92	0.97	0.89	0.96	0.97	0.89	0.94	0.92	0.92	0.92
chr1	21980870	21981033	0.82	0.89	0.85	0.79	0.75	0.82	0.77	0.89	0.68	0.90	0.96	0.96	0.93	0.01	0.95	0.93	0.96	0.91	0.87	0.87	0.92	0.74	0.89	0.92	0.90	0.86	0.86	0.90	0.90	0.88	0.95	0.87	0.95	0.94	0.87	0.84	0.92	0.92	0.91
chr1	22002882	22003150	0.90	0.90	0.79	0.89	0.79	0.88	0.75	0.92	0.64	0.88	0.96	0.93	0.94	0.03	0.85	0.90	0.91	0.92	0.91	0.91	0.94	0.63	0.85	0.90	0.95	0.96	0.81	0.84	0.92	0.91	0.94	0.93	0.91	0.94	0.91	0.95	0.96	0.96	0.96
chr1	22003542	22003865	0.91	0.93	0.86	0.91	0.81	0.81	0.85	0.97	0.87	0.94	0.96	0.95	0.95	0.02	0.95	0.96	0.96	0.95	0.95	0.96	0.90	0.63	0.94	0.94	0.96	0.95	0.91	0.93	0.85	0.91	0.94	0.94	0.97	0.96	0.95	0.88	0.94	0.96	0.95
chr1	22004219	22004857	0.90	0.94	0.86	0.88	0.87	0.94	0.84	0.95	0.81	0.96	0.96	0.92	0.96	0.02	0.91	0.92	0.93	0.96	0.87	0.94	0.94	0.55	0.88	0.92	0.95	0.94	0.88	0.88	0.90	0.92	0.95	0.92	0.97	0.97	0.86	0.90	0.93	0.94	0.93
chr1	22004927	22005124	0.90	0.94	0.89	0.93	0.88	0.93	0.90	0.94	0.92	0.94	0.97	0.95	0.91	0.02	0.93	0.94	0.95	0.94	0.71	0.95	0.87	0.74	0.96	0.96	0.96	0.96	0.92	0.94	0.93	0.95	0.98	0.94	0.97	0.97	0.93	0.91	0.91	0.92	0.91
chr1	22026250	22026400	0.07	0.09	0.03	0.09	0.14	0.12	0.10	0.10	0.07	0.15	0.10	0.15	0.05	0.81	0.10	0.08	0.12	0.01	0.04	0.01	0.02	0.04	0.04	0.10	0.08	0.11	0.04	0.03	0.02	0.08	0.02	0.03	0.02	0.02	0.06	0.04	0.03	0.01	0.01
chr1	22526334	22526639	0.85	0.89	0.87	0.82	0.83	0.83	0.80	0.89	0.81	0.89	0.77	0.92	0.91	0.08	0.79	0.77	0.88	0.93	0.94	0.95	0.92	0.82	0.95	0.97	0.96	0.97	0.98	0.86	0.89	0.90	0.83	0.93	0.93	0.91	0.88	0.89	0.88	0.89	0.85
chr1	22533706	22533982	0.87	0.93	0.91	0.86	0.84	0.91	0.81	0.89	0.85	0.94	0.95	0.97	0.81	0.04	0.52	0.63	0.83	0.90	0.94	0.90	0.91	0.73	0.95	0.98	0.97	0.96	0.96	0.90	0.91	0.85	0.92	0.95	0.97	0.95	0.87	0.90	0.89	0.93	0.91
chr1	23097237	23097661	0.75	0.81	0.60	0.80	0.87	0.84	0.84	0.87	0.81	0.95	0.83	0.95	0.95	0.82	0.82	0.82	0.85	0.92	0.92	0.95	0.94	0.64	0.91	0.94	0.93	0.91	0.91	0.83	0.17	0.75	0.85	0.84	0.92	0.81	0.89	0.92	0.92	0.94	0.92
chr1	23256842	23257094	0.94	0.94	0.91	0.92	0.94	0.93	0.88	0.97	0.92	0.94	0.96	0.96	0.96	0.93	0.96	0.94	0.93	0.95	0.72	0.95	0.80	0.76	0.92	0.95	0.96	0.96	0.93	0.82	0.16	0.70	0.85	0.82	0.94	0.94	0.95	0.95	0.95	0.96	0.96
chr1	23553157	23553450	0.58	0.79	0.77	0.75	0.21	0.78	0.55	0.94	0.31	0.84	0.74	0.96	0.96	0.93	0.92	0.93	0.94	0.93	0.92	0.96	0.91	0.63	0.93	0.96	0.95	0.94	0.91	0.86	0.94	0.92	0.93	0.92	0.96	0.96	0.95	0.93	0.95	0.93	0.93
chr1	23733149	23733545	0.95	0.95	0.91	0.94	0.92	0.92	0.92	0.97	0.92	0.96	0.97	0.95	0.96	0.93	0.97	0.96	0.97	0.98	0.95	0.97	0.96	0.74	0.92	0.96	0.95	0.97	0.91	0.93	0.95	0.97	0.89	0.91	0.99	0.96	0.97	0.93	0.95	0.04	0.40
chr1	23798380	23798703	0.93	0.93	0.90	0.90	0.93	0.89	0.91	0.95	0.82	0.93	0.94	0.95	0.90	0.84	0.90	0.94	0.93	0.94	0.94	0.93	0.91	0.84	0.95	0.97	0.96	0.93	0.94	0.93	0.89	0.87	0.88	0.88	0.87	0.88	0.82	0.04	0.13	0.93	0.91
chr1	23835307	23835531	0.92	0.90	0.89	0.86	0.87	0.92	0.80	0.95	0.89	0.92	0.93	0.92	0.93	0.85	0.93	0.93	0.92	0.94	0.95	0.93	0.91	0.87	0.90	0.92	0.96	0.95	0.94	0.93	0.94	0.94	0.95	0.93	0.95	0.94	0.93	0.93	0.94	0.07	0.55
chr1	24096712	24096912	0.84	0.87	0.81	0.82	0.89	0.37	0.77	0.08	0.78	0.93	0.95	0.95	0.95	0.89	0.90	0.89	0.89	0.89	0.91	0.93	0.90	0.64	0.86	0.91	0.92	0.94	0.88	0.90	0.88	0.90	0.92	0.90	0.91	0.97	0.91	0.87	0.92	0.93	0.92
chr1	24140063	24140743	0.91	0.88	0.87	0.73	0.86	0.90	0.76	0.96	0.77	0.90	0.95	0.97	0.94	0.04	0.92	0.92	0.94	0.93	0.94	0.95	0.95	0.66	0.92	0.96	0.95	0.95	0.93	0.90	0.94	0.94	0.94	0.94	0.97	0.97	0.93	0.92	0.95	0.96	0.94
chr1	24140784	24141435	0.94	0.92	0.86	0.83	0.90	0.83	0.77	0.97	0.83	0.96	0.97	0.97	0.96	0.03	0.94	0.95	0.95	0.97	0.96	0.97	0.97	0.67	0.89	0.95	0.96	0.96	0.92	0.93	0.96	0.97	0.97	0.97	0.96	0.98	0.97	0.74	0.97	0.97	0.89
chr1	24528711	24529373	0.94	0.94	0.91	0.89	0.95	0.92	0.82	0.96	0.93	0.93	0.91	0.96	0.98	0.94	0.84	0.75	0.80	0.96	0.96	0.94	0.95	0.72	0.95	0.95	0.92	0.97	0.94	0.95	0.86	0.32	0.82	0.93	0.98	0.96	0.93	0.76	0.91	0.95	0.93
chr1	24618666	24619055	0.88	0.89	0.81	0.69	0.87	0.87	0.73	0.91	0.67	0.82	0.89	0.93	0.95	0.87	0.90	0.93	0.91	0.90	0.94	0.95	0.91	0.63	0.81	0.90	0.92	0.94	0.82	0.90	0.86	0.87	0.93	0.90	0.57	0.06	0.90	0.84	0.92	0.87	0.88
chr1	24748985	24749388	0.83	0.80	0.61	0.87	0.94	0.89	0.92	0.89	0.80	0.83	0.96	0.93	0.97	0.96	0.96	0.94	0.96	0.68	0.94	0.98	0.95	0.82	0.90	0.94	0.95	0.96	0.10	0.90	0.91	0.94	0.95	0.93	0.97	0.96	0.97	0.96	0.90	0.94	0.91
chr1	24873882	24874201	0.92	0.94	0.87	0.82	0.89	0.92	0.77	0.94	0.82	0.94	0.96	0.96	0.92	0.83	0.88	0.77	0.82	0.94	0.94	0.93	0.73	0.71	0.94	0.96	0.96	0.94	0.94	0.89	0.93	0.90	0.97	0.95	0.93	0.96	0.06	0.96	0.92	0.97	0.96
chr1	24911703	24911861	0.67	0.77	0.86	0.74	0.91	0.85	0.83	0.95	0.68	0.92	0.93	0.91	0.93	0.83	0.90	0.90	0.88	0.81	0.91	0.91	0.80	0.82	0.69	0.04	0.96	0.96	0.96	0.89	0.87	0.85	0.93	0.88	0.94	0.94	0.91	0.94	0.91	0.94	0.93
chr1	25254384	25254538	0.96	0.92	0.70	0.90	0.94	0.97	0.92	0.96	0.89	0.07	0.91	0.98	0.95	0.96	0.97	0.95	0.97	0.94	0.95	0.97	0.82	0.88	0.88	0.95	0.94	0.98	0.79	0.94	0.92	0.95	0.95	0.91	0.92	0.95	0.96	0.95	0.95	0.96	0.96
chr1	25585267	25585526	0.91	0.93	0.65	0.82	0.88	0.87	0.82	0.96	0.83	0.95	0.96	0.95	0.94	0.91	0.95	0.96	0.94	0.88	0.88	0.89	0.87	0.62	0.93	0.94	0.94	0.93	0.12	0.92	0.90	0.89	0.95	0.93	0.96	0.98	0.95	0.89	0.93	0.90	0.89
chr1	25654923	25655177	0.93	0.93	0.76	0.80	0.89	0.89	0.86	0.86	0.79	0.07	0.89	0.97	0.98	0.93	0.96	0.96	0.95	0.94	0.92	0.97	0.93	0.63	0.93	0.95	0.96	0.98	0.94	0.89	0.95	0.95	0.95	0.96	0.97	0.97	0.89	0.95	0.93	0.90	0.84
chr1	25673175	25673327	0.84	0.89	0.86	0.65	0.84	0.91	0.77	0.71	0.84	0.95	0.73	0.97	0.95	0.96	0.96	0.96	0.96	0.95	0.94	0.95	0.89	0.66	0.88	0.96	0.96	0.95	0.89	0.07	0.09	0.84	0.86	0.85	0.89	0.93	0.91	0.92	0.93	0.90	0.93
chr1	25861842	25862002	0.90	0.92	0.90	0.93	0.92	0.92	0.92	0.97	0.92	0.93	0.96	0.94	0.96	0.94	0.94	0.94	0.94	0.88	0.96	0.97	0.96	0.74	0.95	0.93	0.78	0.65	0.88	0.91	0.88	0.90	0.95	0.93	0.98	0.96	0.95	0.02	0.95	0.92	0.92
chr1	26140887	26141241	0.90	0.92	0.88	0.80	0.87	0.87	0.82	0.90	0.82	0.93	0.95	0.94	0.94	0.87	0.95	0.92	0.93	0.90	0.08	0.94	0.89	0.70	0.93	0.94	0.95	0.97	0.92	0.93	0.87	0.80	0.93	0.91	0.90	0.79	0.07	0.92	0.93	0.95	0.93
chr1	26462708	26463281	0.91	0.91	0.86	0.88	0.88	0.90	0.88	0.93	0.93	0.92	0.90	0.93	0.89	0.87	0.87	0.91	0.87	0.94	0.91	0.94	0.89	0.74	0.92	0.95	0.96	0.95	0.84	0.16	0.69	0.87	0.89	0.89	0.83	0.79	0.88	0.86	0.86	0.84	0.86
